시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,40.55,201712,14,27000,0,7,2003,논현로 641
서울특별시 강남구 논현동,249-6,249,6,논현로얄팰리스,전세,206.99,201703,10,120000,0,11,2005,언주로 626
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201701,3,13000,0,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201701,9,13000,0,7,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201702,13,16000,0,8,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201703,4,13000,0,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,42.12,201704,29,15000,0,6,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,27.54,201704,30,15000,0,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201703,15,23000,0,4,2005,학동로 224
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201708,16,18000,0,5,2005,학동로 224
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201709,29,23000,0,4,2005,학동로 224
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201711,28,20000,0,4,2005,학동로 224
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201712,27,24000,0,5,2005,학동로 224
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201702,23,1000,70,11,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201703,15,2000,70,10,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201709,6,1000,75,8,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,26.91,201710,14,17000,0,14,2003,158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201711,22,7000,40,5,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,33.54,201712,8,21000,0,13,2003,도산대로 158
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201703,25,45000,0,11,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,115,201704,5,50000,0,10,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,115,201704,7,54000,0,10,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201704,11,50000,0,12,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201704,19,52000,0,15,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201705,22,50000,0,12,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201709,27,55000,0,3,2006,봉은사로 307
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,월세,37.71,201710,29,1000,110,3,2003,논현로111길 3
서울특별시 강남구 대치동,945-29,945,29,CO-OP Residence/삼성역,월세,13.96,201707,2,2000,45,4,2004,테헤란로92길 13
서울특별시 강남구 대치동,945-29,945,29,CO-OP Residence/삼성역,월세,13.96,201709,13,500,50,10,2004,테헤란로92길 13
서울특별시 강남구 대치동,945-29,945,29,CO-OP Residence/삼성역,전세,13.96,201711,20,9000,0,4,2004,테헤란로92길 13
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,20.8,201701,14,1000,110,7,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,20.8,201701,19,1000,100,12,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.26,201702,2,1000,135,12,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,20.8,201702,14,1000,100,12,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.26,201703,28,2000,130,11,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,전세,30.22,201704,4,33000,0,11,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.26,201705,2,2000,140,7,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.22,201705,29,2000,130,8,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,20.8,201706,14,1000,150,12,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.22,201706,24,2000,140,11,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.22,201706,28,25000,30,7,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.26,201710,14,3000,140,6,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,20.8,201711,16,1000,100,8,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,20.8,201711,21,1000,110,7,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.22,201712,17,10000,110,11,2015,남부순환로 2927
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,30.26,201712,31,1000,145,12,2015,남부순환로 2927
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,34.2,201702,4,4000,70,6,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,33.06,201703,2,19000,0,2,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,33.06,201705,20,21000,0,3,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,35.72,201706,24,23000,0,6,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,52.84,201708,2,35000,0,5,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,34.2,201710,25,20000,0,4,2004,선릉로90길 56
