시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,29.25,202102,2,15000,0,2,2011,선릉로4길 19
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,36.96,202106,29,24000,0,3,2011,선릉로4길 19
서울특별시 강남구 개포동,1237-3,1237,3,(1237-3),월세,33.13,202102,10,3000,100,3,2020,논현로20길 12
서울특별시 강남구 개포동,1237-3,1237,3,(1237-3),월세,34.12,202103,5,3000,105,5,2020,논현로20길 12
서울특별시 강남구 개포동,1237-3,1237,3,(1237-3),월세,29.95,202104,3,5000,70,4,2020,논현로20길 12
서울특별시 강남구 개포동,1237-3,1237,3,(1237-3),월세,29.95,202107,12,3000,80,5,2020,논현로20길 12
서울특별시 강남구 개포동,1229-6,1229,6,CCRU오피스텔,전세,50.04,202101,21,33600,0,3,2019,논현로 78
서울특별시 강남구 개포동,1229-6,1229,6,CCRU오피스텔,전세,42.23,202102,10,4000,0,2,2019,논현로 78
서울특별시 강남구 개포동,1237-8,1237,8,YH빌리지,전세,33.06,202105,17,31500,0,2,2017,논현로20길 22
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,202103,29,1000,65,21,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,202106,4,1000,65,9,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,202106,12,100,62,12,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,202106,23,1000,70,10,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,33.5,202106,30,1000,65,9,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,202107,8,18000,0,6,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,37.55,202107,10,5000,55,21,1997,개포로 623
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,202106,7,1000,60,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,186-13,186,13,메트하임,월세,22,202101,19,1000,90,14,2018,개포로 504
서울특별시 강남구 개포동,186-13,186,13,메트하임,전세,22,202102,18,27000,0,16,2018,개포로 504
서울특별시 강남구 개포동,186-13,186,13,메트하임,전세,22,202103,25,30000,0,8,2018,개포로 504
서울특별시 강남구 개포동,186-13,186,13,메트하임,월세,22,202105,6,1000,90,14,2018,개포로 504
서울특별시 강남구 개포동,186-13,186,13,메트하임,전세,22,202105,22,22050,0,13,2018,개포로 504
서울특별시 강남구 개포동,186-13,186,13,메트하임,전세,22,202106,22,30000,0,8,2018,개포로 504
서울특별시 강남구 개포동,186-13,186,13,메트하임,전세,22,202106,22,28000,0,11,2018,개포로 504
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,56.86,202101,23,42000,0,4,2017,논현로 72
