시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,36.96,201801,16,20000,0,3,2011,선릉로4길 19
서울특별시 강남구 개포동,1237-8,1237,8,YH빌리지,전세,31.47,201802,12,30000,0,2,2017,논현로20길 22
서울특별시 강남구 개포동,1237-8,1237,8,YH빌리지,전세,33.06,201803,3,30000,0,2,2017,논현로20길 22
서울특별시 강남구 개포동,1237-8,1237,8,YH빌리지,전세,27.86,201805,23,25000,0,2,2017,논현로20길 22
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201801,15,500,70,20,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,31.91,201802,2,16500,0,14,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201802,13,1000,55,22,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,41.47,201804,14,19000,0,20,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201806,4,18000,0,22,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201806,4,17000,0,22,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201809,12,1000,60,10,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,31.91,201811,5,17500,0,6,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201812,17,1000,62,17,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201812,28,14000,0,8,1997,개포로 623
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,25.72,201801,20,2000,45,3,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201805,28,1000,50,5,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,25.72,201807,11,2000,58,5,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,27.4,201812,24,2000,50,6,2005,논현로18길 10-10
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,59.64,201801,10,41000,0,4,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,59.64,201808,31,42000,0,5,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,56.86,201810,24,40000,0,2,2017,논현로 72
서울특별시 강남구 논현동,242-27,242,27,	(242-27)	,월세,21.12,201802,20,2000,85,7,2003,선릉로129길 3-4
서울특별시 강남구 논현동,242-27,242,27,	(242-27)	,월세,18.88,201809,29,3000,60,7,2003,선릉로129길 3-4
서울특별시 강남구 논현동,96,96,0,	(96)	,월세,22.05,201801,25,1000,60,8,1987,도산대로46길 11
서울특별시 강남구 논현동,96,96,0,	(96)	,월세,22.05,201805,18,500,50,8,1987,도산대로46길 11
서울특별시 강남구 논현동,96,96,0,	(96)	,전세,22.05,201811,24,8000,0,4,1987,도산대로46길 11
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,월세,69.32,201802,24,3000,210,15,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,월세,34.57,201804,10,10000,70,6,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,월세,38.75,201807,17,1000,120,5,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,34.57,201812,19,28000,0,5,2005,학동로 342
