시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,29.25,201112,8,2000,0,3,2011,선릉로4길 19
서울특별시 강남구 개포동,1246-3,1246,3,골든빌오피스텔(1246-3),월세,23.48,201112,3,200,85,4,2003,개포로 213
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201103,12,10100,0,26,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201105,23,10000,0,18,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201108,27,10000,0,20,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,31.91,201109,29,10000,0,12,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,37.55,201111,22,12000,0,22,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201112,22,1000,60,9,1997,개포로 623
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201112,9,4000,30,5,2005,논현로18길 10-10
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,월세,34.57,201103,31,1000,130,8,2005,학동로 342
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,55.21,201101,5,10000,100,12,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,전세,85.76,201103,7,35000,0,14,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,72.93,201105,18,20000,100,19,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,전세,75.94,201111,18,35000,0,3,2007,학동로 338
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,40.35,201102,22,15000,0,3,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,40.55,201107,14,2000,110,4,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,39.06,201109,30,16000,0,5,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,40.55,201110,8,1000,100,7,2003,논현로 641
서울특별시 강남구 논현동,249-6,249,6,논현로얄팰리스,전세,209.43,201109,19,75000,0,6,2005,언주로 626
서울특별시 강남구 논현동,249-6,249,6,논현로얄팰리스,전세,209.43,201110,20,80000,0,7,2005,언주로 626
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201103,5,7500,0,8,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201106,27,8000,0,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,42.12,201107,23,10500,0,6,2000,선릉로129길 3-6
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,40.56,201101,5,13000,0,7,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,33.54,201106,16,1000,95,9,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201107,27,1000,75,13,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201110,11,9500,30,13,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,40.56,201111,1,15000,0,4,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201111,26,1000,80,15,2003,도산대로 158
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,115,201101,5,35000,0,10,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201104,28,32000,0,15,2006,봉은사로 307
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,월세,32.35,201101,28,10000,50,3,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,월세,32,201108,23,1500,135,3,2003,논현로111길 3
서울특별시 강남구 대치동,945-29,945,29,CO-OP Residence/삼성역,전세,13.96,201111,22,9500,0,10,2004,테헤란로92길 13
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,34.2,201109,28,10000,15,4,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,34.2,201112,12,1000,90,2,2004,선릉로90길 56
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,전세,36.76,201101,24,17000,0,5,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,36.76,201103,29,2000,90,4,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,35.43,201105,18,1000,100,4,2003,삼성로85길 42
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,전세,32.7,201108,12,17000,0,6,2004,테헤란로64길 14
서울특별시 강남구 대치동,938-11,938,11,동민 맥스빌,전세,41.1,201107,20,16500,0,1,2004,선릉로62길 38
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,44.46,201104,1,1000,120,12,2004,선릉로86길 31
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,39,201108,12,6000,55,5,2004,선릉로86길 31
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,26.19,201107,5,3000,60,5,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,27.45,201108,16,5000,50,14,2004,테헤란로88길 10
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,전세,113.08,201101,13,40000,0,11,2006,강남대로 272
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,전세,77.81,201102,12,33000,0,9,2006,강남대로 272
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,전세,113.08,201102,19,41000,0,5,2006,강남대로 272
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,월세,77.81,201109,27,24000,50,4,2006,강남대로 272
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,139.63,201101,10,5000,350,3,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,167.79,201101,13,5000,350,4,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201101,13,70000,0,20,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201101,26,65000,0,6,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201101,28,67000,0,13,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201102,21,75000,0,16,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201103,8,75000,0,9,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,168.65,201103,19,10000,370,7,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201103,31,65000,0,17,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201104,14,60000,0,9,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201105,6,70000,0,8,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201105,14,73000,0,9,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201105,20,75000,0,16,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,163.05,201106,13,50000,200,4,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201106,16,73000,0,11,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201107,16,66000,0,12,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201107,26,70000,0,13,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,168.65,201110,25,10000,400,7,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201111,18,65000,0,19,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201112,29,72000,0,6,2005,남부순환로 2763
서울특별시 강남구 도곡동,467-10,467,10,오피스텔및 공동주택,월세,62.46,201112,29,2000,135,3,1996,언주로30길 27
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,35.2,201112,19,4000,50,20,1998,언주로 118
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201101,17,45000,0,7,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,75.29,201101,19,45000,0,17,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201101,28,53000,0,5,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,121.5,201102,1,65000,0,10,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,91.1,201102,10,50000,40,19,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201102,10,57000,0,5,2002,언주로30길 56
