시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,29.25,201203,29,12000,0,3,2011,선릉로4길 19
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,36.96,201208,14,12000,0,2,2011,선릉로4길 19
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,36.96,201211,19,12000,0,2,2011,선릉로4길 19
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,29.25,201212,8,11000,0,3,2011,선릉로4길 19
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201203,19,11000,0,15,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201204,22,1000,60,18,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,34.39,201206,25,11000,0,10,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201208,16,5000,30,22,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,34.39,201208,23,11000,0,10,1997,개포로 623
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,전세,104.8,201202,29,29000,0,6,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201206,9,2000,40,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,24.67,201207,2,1000,55,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,24.67,201208,3,1000,60,5,2005,논현로18길 10-10
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,40.55,201201,6,1000,125,3,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,40.35,201201,9,1000,100,5,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,40.55,201204,3,500,105,7,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,40.55,201206,2,5000,100,4,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,39.06,201210,2,16000,0,5,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,40.55,201212,26,17000,0,6,2003,논현로 641
서울특별시 강남구 논현동,249-6,249,6,논현로얄팰리스,월세,206.99,201202,4,20000,650,5,2005,언주로 626
서울특별시 강남구 논현동,249-6,249,6,논현로얄팰리스,전세,209.43,201202,13,100000,0,14,2005,언주로 626
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,월세,24.84,201201,26,3000,50,8,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201202,13,10000,0,7,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,월세,24.84,201203,23,2000,65,6,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,27.54,201206,12,11000,0,6,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,월세,24.84,201210,21,4000,40,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,월세,22.09,201202,26,1000,50,5,2005,학동로 224
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201203,7,16000,0,5,2005,학동로 224
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,33.54,201206,5,1000,100,6,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,33.54,201206,12,15000,0,10,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201209,20,3000,78,8,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,26.91,201210,26,14000,0,13,2003,도산대로 158
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,115,201202,15,38000,0,9,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201203,5,34000,0,13,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201204,9,21000,0,11,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201208,10,32000,0,15,2006,봉은사로 307
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,월세,32.35,201201,9,10000,50,2,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,전세,32,201201,29,18000,0,5,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,월세,32.35,201201,31,5000,80,3,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,전세,32.35,201203,15,19000,0,5,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,전세,32,201206,8,16000,0,4,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,월세,32,201207,26,13000,30,2,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,전세,37.37,201208,31,17000,0,2,2003,논현로111길 3
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,전세,37.71,201210,9,14000,0,5,2003,논현로111길 3
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,34.2,201204,24,16500,0,3,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,34.2,201208,29,6500,60,5,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,34.2,201209,24,16500,0,4,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,33.06,201212,4,16000,0,3,2004,선릉로90길 56
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,36.76,201203,30,5000,70,4,2003,삼성로85길 42
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,32.34,201208,22,10000,30,6,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,전세,32.7,201208,28,17000,0,6,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,32.7,201211,9,1000,90,10,2004,테헤란로64길 14
서울특별시 강남구 대치동,938,938,0,삼환 아르누보2,월세,27.83,201206,11,1000,100,6,2004,도곡로 405
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,44.46,201202,16,8000,90,9,2004,선릉로86길 31
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,44.46,201204,18,10000,70,12,2004,선릉로86길 31
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,44.46,201209,11,9000,80,9,2004,선릉로86길 31
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,44.46,201209,14,15000,25,11,2004,선릉로86길 31
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201201,10,115,115,3,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,32,201202,28,15000,0,8,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,32,201207,16,16000,0,9,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,32,201210,13,17000,0,4,2003,테헤란로64길 8
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201203,7,3000,65,19,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,27.45,201208,3,5000,50,14,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201209,8,5000,60,11,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,전세,30.11,201211,12,13000,0,3,2004,테헤란로88길 10
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,월세,77.81,201202,1,10000,150,4,2006,강남대로 272
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,전세,77.81,201212,10,35000,0,4,2006,강남대로 272
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201201,17,70000,0,14,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201201,20,75000,0,22,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,167.79,201202,2,5000,360,4,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,168.65,201202,24,7000,350,9,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,163.05,201203,30,30000,250,18,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201204,5,70000,0,11,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201205,8,72000,0,13,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201207,19,70000,0,16,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201207,27,60000,0,9,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201207,31,73000,0,13,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201209,24,72000,0,20,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201210,12,75000,0,21,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201211,28,72000,0,13,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201212,5,73000,0,16,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201212,20,70000,0,19,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,168.65,201212,21,72000,0,3,2005,남부순환로 2763
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,42.72,201201,4,1000,90,23,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,67.08,201202,22,22000,0,14,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,42.53,201204,3,18500,0,6,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,55.46,201204,30,20000,0,7,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,42.72,201208,17,12000,0,8,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,45.93,201208,27,16000,0,7,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,45.93,201209,12,17000,0,3,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,45.93,201209,24,19000,0,27,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,35.2,201210,9,200,70,22,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,35.2,201210,25,5000,40,13,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201211,7,10000,0,14,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,45.93,201212,24,19000,0,4,1998,언주로 118
