id,lotnum_1,old_div,str_addr,street
254664,307,중화동,화인하우스,동일로139가길 
254970,85,상봉동,해피뜨래,상봉로23길 
255323,648,신내동,225,신내로
255578,127,상봉동,경수하이빌,망우로36길 
257361,104,용두동,동대문 푸르지오시티,왕산로 
257522,130,용두동,바인르미에르,왕산로 
257602,255,용두동,창보리버리치,청계천로
257698,255,용두동,청계 한양아이클래스,청계천로 
257936,341,이문동,자인M TOWER,이문로 
258144,416,장안동,신의 S 컬렉션,한천로2길 
258367,335,장안동,젬스톤 힐즈,장한로26길
258370,372,장안동,청명에버아트3차,장한로23길 
258373,372,장안동,청솔,장한로23길 
258400,383,장안동,태솔에버빌3차,장한로23길
258405,380,장안동,파크리움,한천로24길 
258421,417,장안동,평산하우스,천호대로83길
258565,601,전농동,에스앤제이프리미안,왕산로 
258651,191,휘경동,상주빌리지,회기로31가길 
260391,382,장안동,청명에버아트 2차,장한로21길 
260412,383,장안동,태솔에버빌2차,장한로23길
262374,494,답십리동,289,천호대로
262651,236,용두동,52,왕산로
267291,667,구의동,강변에스케이뷰,아차산로 
267343,76,구의동,그랜드파크 오피스텔,천호대로 
267352,251,구의동,롯데홈타워빌,자양로 
267458,252,구의동,웰츠타워,자양로 
267727,626,자양동,아스하임,자양로11길 
268014,21,화양동,광진캠퍼스시티,자양로 
268354,251,구의동,로젠스톤,자양로
270173,251,구의동,138,자양로
273150,53,도선동,한성아펠타워,왕십리로 
273883,890,하왕십리동,동인드림힐스,왕십리로 
273925,1070,하왕십리동,센트라스,왕십리로 
274081,144,홍익동,뉴센트빌,왕십리로20길 
274636,289,성수동2가,성수베네스트,광나루로
280907,56,동자동,트윈시티 남산,한강대로 
281538,420,한강로2가,용산푸르지오써밋,한강대로 
285675,140,신당동,신당역솔하임,퇴계로 
286048,1542,황학동,-1542,마장로15길
286116,1572,황학동,동광팰리스,난계로17길 
286153,846,황학동,신당블루카운티,난계로11길 
286235,1452,황학동,주건축물제1동,난계로15길
286398,13,흥인동,청계천 두산위브더제니스,다산로46길 
286969,893,황학동,더큐브,마장로16길
288446,819,황학동,169,난계로
290811,126,교북동,경희궁자이,송월길 
291159,243,숭인동,블루빌,종로58가길 
291457,171,신문로2가,디팰리스,새문안로2길 
292963,34,익선동,23,삼일대로30길
